id;piso;capacidad;tipo_sala;recursos,
00;1;250;PUBLICA;
01;2;5;PRIVADA;ORDENADORES,PROYECTOR
02;2;5;PRIVADA;PIZARRA,PROYECTOR
03;2;5;PRIVADA;PIZARRA
04;2;5;PRIVADA;PROYECTOR
05;2;5;PRIVADA;PIZARRA
06;2;5;PRIVADA;PROYECTOR
07;2;5;PRIVADA;ORDENADORES
08;2;5;PRIVADA;ORDENADORES,PROYECTOR,PIZARRA
09;2;5;PRIVADA;PROYECTOR
10;2;5;PRIVADA;ORDENADORES
11;2;5;PRIVADA;ORDENADORES,PROYECTOR
12;2;5;PRIVADA;ORDENADORES
13;2;5;PRIVADA;ORDENADORES,PROYECTOR
14;2;5;PRIVADA;PROYECTOR
15;2;5;PRIVADA;ORDENADORES,PROYECTOR
16;2;5;PRIVADA;ORDENADORES,PROYECTOR
17;2;5;PRIVADA;PROYECTOR
18;2;5;PRIVADA;ORDENADORES,PIZARRA,PROYECTOR
19;2;5;PRIVADA;PROYECTOR
20;2;5;PRIVADA;ORDENADORES,PROYECTOR
21;3;50;EVENTOS;;
22;3;100;EVENTOS;;
23;3;75;EVENTOS;;
24;3;75;EVENTOS;;
25;3;50;EVENTOS;;
26;3;150;EVENTOS;;
27;3;100;EVENTOS;;
28;3;100;EVENTOS;;
29;3;50;EVENTOS;;
30;3;50;EVENTOS;;
